name,ilce_adi,LST_C,NDVI_L8,NDBI_L8
Çambel Mahallesi,Kemalpaşa,35.58179322430065,0.2004544603431873,-0.0397194418127078
Çamiçi Mahallesi,Bornova,33.47314570641699,0.2328607008927283,-0.0743212906372168
Çamkule Mahallesi,Bornova,33.30099227262138,0.1865277167053077,-0.048319352863513
Çamköy Mahallesi,Bergama,38.06683442984541,0.1801338030750865,-0.0398844835347293
Çamlı Mahallesi,Güzelbahçe,30.78181049870604,0.2305136551223232,-0.0863662367842841
Çamlıbel Mahallesi,Bayındır,29.515315680986244,0.2687833504109062,-0.1242920244988057
Çamlıca Mahallesi,Ödemiş,34.75491366034497,0.207671740675861,-0.0475792948502638
Çamlık Mahallesi,Beydağ,32.25707328348131,0.1850748046907507,-0.05791925412601817
Çamlıkule Mahallesi,Buca,36.05473990234087,0.0674906739665113,0.0272098008689818
Çamlıpınar Mahallesi,Buca,36.46652482597631,0.0808855518917105,0.0219031400706023
Çamlıçay Mahallesi,Urla,31.904158224530107,0.1567704155170321,-0.0340106507249308
Çamoba Mahallesi,Bergama,36.40908422356239,0.2169488958371824,-0.032226453955416
Çamtepe Mahallesi,Seferihisar,32.55042064916383,0.1812626251363843,-0.060814673365974355
Çamyayla Mahallesi,Ödemiş,27.355654988225695,0.2909987906642518,-0.1306509717405749
Çamönü Mahallesi,Menderes,31.263241731300337,0.2204245190219151,-0.0782023298430353
Çanakçı Mahallesi,Kiraz,31.73693224105305,0.236751815761097,-0.0449161662786795
Çandarlı Mahallesi,Dikili,36.52426871774912,0.1704432498867528,-0.0207234996576571
Çankaya Mahallesi,Konak,34.94024710562354,0.0738550093175079,0.0189184335009316
Çanköy Mahallesi,Kınık,33.03191494490156,0.2111367723405355,-0.048216169763807
Çapak Mahallesi,Torbalı,37.27008279551471,0.185693938132518,-0.0383406534146958
Çatak Mahallesi,Kiraz,28.40499152764116,0.2426458797872877,-0.0637876671306423
Çatalca Mahallesi,Menderes,34.87720385651912,0.2059606556724456,-0.0416075675462068
Çatalkaya Mahallesi,Narlıdere,33.78791592840622,0.1328594205103957,-0.0199289981716078
Çavuş Mahallesi,Menemen,35.92634070020576,0.2283103408821189,-0.067719829368658
Çay Mahallesi,Bayraklı,35.652786119809925,0.0598858265046562,0.0261611911528893
Çayağzı Mahallesi,Kiraz,31.99584348919213,0.2356321394025725,-0.0559699844533757
Çaybaşı Mahallesi,Torbalı,35.50022820700688,0.1982933696304379,-0.0630354844968319
Çaylı Mahallesi,Ödemiş,36.45045966941103,0.2386330379600135,-0.0649956083930309
Çayır Mahallesi,Ödemiş,28.022244350140607,0.2717586681420776,-0.10835550088332
Çayırlı Mahallesi,Tire,31.33594926693077,0.2516331866251418,-0.0937978041052422
Çağdaş Mahallesi,Buca,36.712281849135955,0.13739604240514336,-0.02447208352287565
Çağlan Mahallesi,Dikili,31.731654441947686,0.2515126934120101,-0.1017590800761455
Çağlayan Mahallesi,Ödemiş,30.25341416350976,0.2852227836483078,-0.1168894666619546
Çelebi Mahallesi,Güzelbahçe,31.86795395019124,0.1498273756675122,-0.0174005660631189
Çeltikçi Mahallesi,Bergama,35.99616231117595,0.2104875476109761,-0.0265806249207512
Çenikler Mahallesi,Bayındır,35.74127606186364,0.2268054224352601,-0.0579971117220657
Çeriközü Mahallesi,Tire,27.700631913826182,0.2207886102456747,-0.0847932126942609
Çetin Emeç Mahallesi,Balçova,34.358255847332,0.1945341213141659,-0.0601381552067145
Çiftlik Mahallesi,Çeşme,33.05819836226371,0.1560064021255696,0.0034332626350938
Çiftlikköy Mahallesi,Beydağ,35.7537909777688,0.2080387075155628,-0.0323228088040051
Çiftçigediği Mahallesi,Bayındır,39.44263383193095,0.2159154636629938,-0.0675454871733531
Çile Mahallesi,Menderes,31.06588813042195,0.2534969179744684,-0.1000148953537714
Çileme Mahallesi,Menderes,34.30640596256987,0.1931807029976188,-0.0230547858779785
Çimentepe Mahallesi,Konak,35.70139403026178,0.0650879500862056,0.0370026822258664
Çiniliköy Mahallesi,Kemalpaşa,32.094830254374564,0.2223989388494271,-0.0779553265521196
Çiniyeri Mahallesi,Tire,34.81149295325675,0.2416726806091159,-0.079608192174832
Çitköy Mahallesi,Bergama,36.582944714233165,0.1978912352033834,-0.0213960297810042
Çiçek Mahallesi,Bayraklı,36.40443232970125,0.0750642292440802,0.0222234705865539
Çiçekli Mahallesi,Bornova,31.823156446583848,0.2369994648276546,-0.0964571666042177
Çobanköy Mahallesi,Tire,34.21080371165172,0.2409533373347201,-0.0725391311531277
Çobanlar Mahallesi,Bergama,31.755747081964902,0.23948768417252617,-0.07184184704088613
Çolak İbrahim Bey Mahallesi,Seferihisar,34.26333371536347,0.1512747432441887,0.0120512679111244
Çomaklar Mahallesi,Beydağ,26.1935841205741,0.2875020899793313,-0.1259067130585775
Çoraklar Mahallesi,Aliağa,38.28254479087878,0.1674636136297691,0.0008983147087641014
Çukuralanı Mahallesi,Dikili,36.0260086456905,0.2080917310124405,-0.0606366309675155
Çukuraltı Mahallesi,Menderes,29.67687674922732,0.230139795824264,-0.098175352703903
Çukurköy Mahallesi,Tire,29.81383180773495,0.24764173854651814,-0.09050733169141609
Çömlekçi Mahallesi,Kiraz,36.06956693276219,0.2314813755040991,-0.0472390236338422
Çürükbağlar Mahallesi,Bergama,32.259778490402056,0.2522356232529696,-0.0830471051098597
Çınar Mahallesi,Bayındır,37.7108598808385,0.13256938015654646,0.0081023085550218
Çınardibi Mahallesi,Bayındır,29.33015703504537,0.253464053741087,-0.1116556361962042
Çınarköy Mahallesi,Kemalpaşa,27.597772221022403,0.2457699589725878,-0.1147827736500223
Çınarlı Mahallesi,Konak,35.75489219391594,0.0957990780211246,-0.0153461022783363
Çınartepe Mahallesi,Konak,33.26222209858241,0.1131673548929523,-0.0118657943916402
Çırpı Cami Mahallesi,Bayındır,36.60320301733055,0.2278338679821344,-0.0860673799409258
Çıtak Mahallesi,Aliağa,33.74904592583025,0.2070973809401804,-0.0548207285122417
Öksüzler Mahallesi,Bergama,36.160925145503526,0.2062139882057876,-0.0165209189982593
Ören 75. Yıl Cumhuriyet Mahallesi,Kemalpaşa,33.16358741232954,0.2679439152558903,-0.1197455153001937
Ören Mahallesi,Kiraz,29.940402453620127,0.2286783916447748,-0.0421332267537628
Örencik Mahallesi,Kiraz,30.308308380152948,0.2286240326794865,-0.0315109356934751
Örenli Mahallesi,Bergama,37.24034979913028,0.1927651084483355,-0.0015635787752457
Örlemiş Mahallesi,Bergama,36.66920340409081,0.1856544724934089,-0.0142987088698767
Örnekkent Mahallesi,Aliağa,36.767874528568925,0.1176247438848005,0.0145740654169325
Örnekköy Mahallesi,Kemalpaşa,36.23230888888534,0.17484521625286087,-0.03997875960458385
Örtülü Mahallesi,Kınık,33.98724755705738,0.2191064981283417,-0.039951790327805
Özbek Mahallesi,Urla,31.767065931388032,0.2394351278258645,-0.0852402102152345
Özbey Mahallesi,Torbalı,34.06108601755365,0.2081540188186349,-0.0817060202760558
Özdere Cumhuriyet Mahallesi,Menderes,30.73150446395699,0.2452416563546139,-0.0928715739886063
Özgür Mahallesi,Karabağlar,37.57051910581902,0.0956342939650316,0.0280455154346737
Ülkü Mahallesi,Konak,35.85848733567549,0.0663085238551394,0.0481431249880616
Ümit Mahallesi,Bornova,36.41540963232976,0.1177064877312132,-0.0034548915197887
Üniversite Mahallesi,Çeşme,33.46342978614941,0.1639041251725432,-0.026130925377423
Ürkütler Mahallesi,Bergama,32.472694313890464,0.2452303291522301,-0.0671542362640068
Üzümler Mahallesi,Tire,31.59591970521777,0.23489331477163,-0.1052641511145747
Üzümlü Mahallesi,Ödemiş,34.98464255911922,0.262839236391668,-0.0957042602368048
Üç Eylül Mahallesi,Ödemiş,36.84331557319177,0.2533014107315769,-0.1005362318111409
Üçkonak Mahallesi,Ödemiş,35.80879833429656,0.2338987153739704,-0.0314151939680395
Üçkuyular Mahallesi,Karabağlar,35.613988686043854,0.1009254881782925,0.0139117137707375
Üçtepe Mahallesi,Bergama,31.5909157941278,0.2476444886115964,-0.0808151814899313
İTOB Organize Sanayi Bölgesi,Menderes,39.20886081898532,0.0975986015787792,0.0081736735636283
İbni Melek Mahallesi,Tire,35.58076109000737,0.2268455024558118,-0.0624446255256287
İbni Melek Organize Sanayi Bölgesi,Tire,41.31962828718243,0.1397142862783773,0.0183755197666437
İbrahimağa Mahallesi,Kınık,36.89021359797671,0.1949815142049816,-0.0126517010029296
İbrahimçavuş Mahallesi,Bayındır,39.294456064766514,0.1963460178226853,-0.0628578352126001
İhsan Alyanak Mahallesi,Karabağlar,36.687237394320846,0.0709186499575081,0.0301005650219881
İhsaniye Mahallesi,Seferihisar,33.98875290840732,0.2328200968565911,-0.07686201873855465
İkizler Mahallesi,Bergama,30.469717974868686,0.2434181978626927,-0.0832784468376097
İlkkurşun Mahallesi,Ödemiş,38.54198610650866,0.2159855298216792,-0.0509505643899045
İmariye Mahallesi,Konak,38.53000849986086,0.1683730844584564,-0.0192642371864365
İmbatlı Mahallesi,Karşıyaka,36.043966175771125,0.0979545620723107,-0.0029679352541034
İncecikler Mahallesi,Bergama,29.751563651249008,0.2429045014013858,-0.0881737112992753
İnciraltı Mahallesi,Balçova,34.77705172848839,0.1852235239097013,-0.0435375236437892
İncirli Pınar Mahallesi,Menemen,36.66532269216584,0.0806218690838521,0.0256803012337773
İnecik Mahallesi,Karaburun,33.4187947561592,0.2186161964168185,-0.070880885583198
İneşir Mahallesi,Bergama,34.18612771676838,0.2301701688488349,-0.0394821935917453
İnkılap Mahallesi,Bergama,36.413094973745515,0.1203771667552887,6.609477766899999e-05
İnönü Mahallesi,Torbalı,36.59535216232107,0.1465610107442898,-0.01934932425010611
İpekçiler Mahallesi,Tire,38.3790614895931,0.0958425384644358,0.0237787345895271
İsa Bey Mahallesi,Selçuk,33.65471328579416,0.2281132820447836,-0.0705906258822683
İskele Mahallesi,Karaburun,33.854519049821334,0.18180082278264958,-0.038807348298432104
İslamlar Mahallesi,Dikili,38.29625787899133,0.1887927109149388,-0.0123026652103621
İslamsaray Mahallesi,Bergama,35.210100333309704,0.188590567880042,-0.0400549774832001
İsmailli Hacılar Mahallesi,Bergama,35.3063610738291,0.2128624237733286,-0.0238373155298994
İsmailli Mahallesi,Bergama,36.97244687325577,0.2044303391296359,-0.0143608448489211
İsmet Kaptan Mahallesi,Konak,35.35116171412198,0.0855600665375946,-0.0031246847169443
İsmet Paşa Mahallesi,Konak,36.092603366943045,0.0842777141162389,0.0173623695239002
İsmet İnönü Mahallesi,Menemen,34.541615669405914,0.12030725834884914,-0.004712328488015749
İsmetpaşa Mahallesi,Dikili,35.499600459906645,0.1671207806007366,-0.016241026783094
İstiklal Mahallesi,Torbalı,36.74580141861322,0.1700337438992642,-0.01721333933470886
İzkent Mahallesi,Buca,37.46878330474031,0.13038379497697644,-0.01060120706535185
İzmir Serbest Bölgesi,Menemen,39.74294430450099,0.1512651079421817,-0.0096810437960746
İçmeler Mahallesi,Urla,32.2366010006983,0.2023326535240701,-0.0461751155936029
İğdeli Mahallesi,Kiraz,31.42811808162505,0.2058673182019199,-0.0070239415902602
İğnedere Mahallesi,Menemen,35.37825266038198,0.2250599474553626,-0.0734917935079031
Şakran Hasbi Efendi Mahallesi,Aliağa,33.89072187742878,0.1644780063793674,-0.0175896989536804
