District,NDVI,NDBI
Aliaga,0.3271418957551397,0.010872210207687562
Balcova,0.4329562191097288,-0.09394611986747872
Bayindir,0.5776582827445238,-0.16499114550067046
Bergama,0.4765152255530133,-0.06421199412224762
Beydag,0.5307703939427544,-0.09558250274345356
Bornova,0.45797259891019587,-0.10043000496557279
Buca,0.5288151378806452,-0.1349989269483678
Cesme,0.30910100042037525,0.07632923239769893
Cigli,0.028349280551238674,-0.11067749799958183
Dikili,0.42555897785421615,-0.02519185992142124
Foca,0.4022397443550071,-0.0174354487565043
Gaziemir,0.4721328317722937,-0.09260913039763813
Guzelbahce,0.5355902612612644,-0.12180495983917816
Hekimadasi,0.5335470929952273,-0.1372558843221907
Karaada,0.4953112656750923,-0.013775535073834484
Karaburun,0.5041461314969033,-0.06085673184636262
Kemalpasa,0.5766565945598722,-0.16947855061107103
Kinik,0.4512817282898754,-0.038218686063363344
Kiraz,0.48393763927807915,-0.0422838343594081
Konak,0.2760844553876151,0.002191344012517842
Menderes,0.5035897053627053,-0.10239896546215649
Menemen,0.37290432295436793,-0.05269016166003407
Narlidere,0.6322216215618021,-0.22528614895957277
Odemis,0.5243690742894369,-0.10949786287041109
Seferihisar,0.5072598006374724,-0.08494950052217967
Selcuk,0.5364442610787841,-0.1329645565152175
Tire,0.49702533588918474,-0.10310365545400799
Toprakada,0.42584456186779845,0.0563336052446055
Torbali,0.4564522404999304,-0.08780903464365229
Urla,0.5387346580160414,-0.09032193050612397
Uzunada,0.4050322095224954,0.029664190082960173
