District,NDVI_Sentinel2,NDBI_Sentinel2,LST_Celsius,NDVI_Landsat8,NDBI_Landsat8
Dikili,0.42555897785421615,-0.02519185992142124,36.194235370399966,0.19466304578690383,-0.031425122896079793
Aliaga,0.3271418957551397,0.010872210207687562,36.05463693631925,0.15609019664655252,-0.013144966466590313
Konak,0.2760844553876151,0.002191344012517842,35.64387039968291,0.12942847177835484,-0.01503307766388233
Foca,0.4022397443550071,-0.0174354487565043,34.92245539476704,0.17504271276627642,-0.027450206256435898
Menemen,0.37290432295436793,-0.05269016166003407,34.79759824523336,0.18850644474752323,-0.042886374809058894
Kinik,0.4512817282898754,-0.038218686063363344,34.73161488589154,0.20498312977713262,-0.039009795456363815
Torbali,0.4564522404999304,-0.08780903464365229,34.30623133158345,0.21440250625594817,-0.0655133280986885
Bergama,0.4765152255530133,-0.06421199412224762,33.875340175655694,0.21749431963581778,-0.05096175233371152
Cesme,0.30910100042037525,0.07632923239769893,33.4109062370171,0.14901228383133194,-0.0002827856924061345
Bornova,0.45797259891019587,-0.10043000496557279,33.191440136072714,0.19281175727906788,-0.060617839642643216
Balcova,0.4329562191097288,-0.09394611986747872,32.976640211482994,0.18668152853062905,-0.06494978473555853
Gaziemir,0.4721328317722937,-0.09260913039763813,32.891597454085414,0.19580116003957398,-0.05814007475197216
Menderes,0.5035897053627053,-0.10239896546215649,32.54578284111017,0.21752029419922894,-0.06711885633400923
Uzunada,0.4050322095224954,0.029664190082960173,32.455133050954096,0.16759244660133268,-0.020802703364624257
Odemis,0.5243690742894369,-0.10949786287041109,32.341039870110784,0.24654676988164628,-0.07722966552950827
Tire,0.49702533588918474,-0.10310365545400799,32.25376230661221,0.23307917298195213,-0.07359117925549973
Selcuk,0.5364442610787841,-0.1329645565152175,32.21697712968426,0.22869784201780588,-0.08414790111416233
Seferihisar,0.5072598006374724,-0.08494950052217967,32.194228831446345,0.21445898631481233,-0.0605928476115653
Bayindir,0.5776582827445238,-0.16499114550067046,32.12362583754797,0.2565249382674763,-0.10348785446248675
Karaburun,0.5041461314969033,-0.06085673184636262,31.75699820026496,0.21210790828840995,-0.05749381287442028
Kiraz,0.48393763927807915,-0.0422838343594081,31.62373790356976,0.23840089802626968,-0.044635968238530804
Urla,0.5387346580160414,-0.09032193050612397,31.37276166569514,0.22203911867425663,-0.06714329338384176
Buca,0.5288151378806452,-0.1349989269483678,31.14254911220924,0.2182633043012259,-0.07836497767518973
Cigli,0.028349280551238674,-0.11067749799958183,30.813871806692994,0.051713790424087525,-0.01890954710318443
Kemalpasa,0.5766565945598722,-0.16947855061107103,30.536323934868957,0.24360704395525107,-0.09789634769453563
Beydag,0.5307703939427544,-0.09558250274345356,30.466884943040185,0.24392180849635867,-0.0712481659989364
Guzelbahce,0.5355902612612644,-0.12180495983917816,29.818633173781407,0.21311450312040217,-0.0767648948778044
Hekimadasi,0.5335470929952273,-0.1372558843221907,29.718492477444947,0.22374611047288082,-0.09293947362314692
Karaada,0.4953112656750923,-0.013775535073834484,29.52563193341245,0.20188972693217766,-0.05735644168526315
Narlidere,0.6322216215618021,-0.22528614895957277,28.34222022971921,0.24166886396017978,-0.12063696773966949
Toprakada,0.42584456186779845,0.0563336052446055,27.137694420747618,0.1761228971333132,-0.0531792201884752
