LST_C,NDBI_L8,NDVI_L8,District
36.05463693631925,-0.013144966466590313,0.15609019664655252,Aliaga
32.976640211482994,-0.06494978473555853,0.18668152853062905,Balcova
32.12362583754797,-0.10348785446248675,0.2565249382674763,Bayindir
33.875340175655694,-0.05096175233371152,0.21749431963581778,Bergama
30.466884943040185,-0.0712481659989364,0.24392180849635867,Beydag
33.191440136072714,-0.060617839642643216,0.19281175727906788,Bornova
31.14254911220924,-0.07836497767518973,0.2182633043012259,Buca
33.4109062370171,-0.0002827856924061345,0.14901228383133194,Cesme
30.813871806692994,-0.01890954710318443,0.051713790424087525,Cigli
36.194235370399966,-0.031425122896079793,0.19466304578690383,Dikili
34.92245539476704,-0.027450206256435898,0.17504271276627642,Foca
32.891597454085414,-0.05814007475197216,0.19580116003957398,Gaziemir
29.818633173781407,-0.0767648948778044,0.21311450312040217,Guzelbahce
29.718492477444947,-0.09293947362314692,0.22374611047288082,Hekimadasi
29.52563193341245,-0.05735644168526315,0.20188972693217766,Karaada
31.75699820026496,-0.05749381287442028,0.21210790828840995,Karaburun
30.536323934868957,-0.09789634769453563,0.24360704395525107,Kemalpasa
34.73161488589154,-0.039009795456363815,0.20498312977713262,Kinik
31.62373790356976,-0.044635968238530804,0.23840089802626968,Kiraz
35.64387039968291,-0.01503307766388233,0.12942847177835484,Konak
32.54578284111017,-0.06711885633400923,0.21752029419922894,Menderes
34.79759824523336,-0.042886374809058894,0.18850644474752323,Menemen
28.34222022971921,-0.12063696773966949,0.24166886396017978,Narlidere
32.341039870110784,-0.07722966552950827,0.24654676988164628,Odemis
32.194228831446345,-0.0605928476115653,0.21445898631481233,Seferihisar
32.21697712968426,-0.08414790111416233,0.22869784201780588,Selcuk
32.25376230661221,-0.07359117925549973,0.23307917298195213,Tire
27.137694420747618,-0.0531792201884752,0.1761228971333132,Toprakada
34.30623133158345,-0.0655133280986885,0.21440250625594817,Torbali
31.37276166569514,-0.06714329338384176,0.22203911867425663,Urla
32.455133050954096,-0.020802703364624257,0.16759244660133268,Uzunada
