name,ilce_adi,NDVI,NDBI
Arpaseki Mahallesi,Kınık,0.388080663454338,0.0123065414851791
Arslanlar Mahallesi,Torbalı,0.4291246586498822,-0.0845067955411458
Artıcak Mahallesi,Ödemiş,0.6325825245360526,-0.2127116228901129
Arıkbaşı Mahallesi,Bayındır,0.4977872813065011,-0.0996889751825077
Ata Mahallesi,Menderes,0.3230937241133887,0.0170379964076711
Atakent Mahallesi,Karşıyaka,0.3139419791001986,-0.0720831494747319
Ataköy Mahallesi,Menderes,0.6024775919412945,-0.1824289397848619
Atalan Mahallesi,Torbalı,0.434407824299195,-0.0995033896301846
Atamer Mahallesi,Konak,0.2321335526442207,0.0180273285797263
Atatürk Mahallesi,Bayındır,0.34985256657282865,-0.03836009996682961
Atatürk Organize Sanayi Bölgesi,Çiğli,0.1109587855152745,0.0502406155117437
Atatürk Plastik Organize Sanayi Bölgesi,Menemen,0.1084750610595663,0.0448066475878251
Ataşehir Mahallesi,Çiğli,0.1866908031904701,0.0169204015177568
Atilla Mahallesi,Konak,0.0936913171340806,0.110684904206201
Atmaca Mahallesi,Bergama,0.2245709370645567,0.0570553455351851
Atçılar Mahallesi,Bergama,0.3921143213882271,0.0285991133966167
Atıfbey Mahallesi,Gaziemir,0.1907502497432269,0.048032937676122
Avunduk Mahallesi,Bergama,0.4651612954860801,-0.0141647044606655
Avunduruk Mahallesi,Kiraz,0.4936690299083979,-0.05790093455359785
Ayaklıkırı Mahallesi,Tire,0.4445479381176107,-0.0325693438962382
Ayaskent Mahallesi,Bergama,0.3502359785222914,-0.0119848297000404
Aydoğdu Mahallesi,Kiraz,0.36344535715577486,-0.028577266094251298
Aydın Mahallesi,Karabağlar,0.2321007985063113,0.0219107088130474
Aydınlıkevler Mahallesi,Çiğli,0.2603062411353014,0.0051420927003816
Ayrancılar Mahallesi,Torbalı,0.2938149354098646,0.0008083894154260917
Ayvacık Mahallesi,Menemen,0.4005707063033595,-0.0530976664920558
Ayvatlar Mahallesi,Bergama,0.6332940127016956,-0.1836282443179245
Aziziye Mahallesi,Bergama,0.2903706553868744,0.024153213447433167
Aşağı Mahalle,Kınık,0.2347129185943953,0.067186973808349
Aşağı Yenmiş Mahallesi,Kemalpaşa,0.278570013919441,0.0380137521203668
Aşağıbey Mahallesi,Bergama,0.6458806068949431,-0.1992153686673574
Aşağıcuma Mahallesi,Bergama,0.5082819600170712,-0.0707869107325044
Aşağıkırıklar Mahallesi,Bergama,0.2950890932113041,0.0203303626739559
Aşağıkızılca Mahallesi,Kemalpaşa,0.525497012453586,-0.1544943063178338
Aşağıılgındere Mahallesi,Bergama,0.466843191989817,-0.0741034636947259
Aşağışakran Mahallesi,Aliağa,0.3935735183802789,-0.0082084891249473
Aşık Veysel Mahallesi,Karabağlar,0.0903996699788922,0.0541913373401453
B.Hayrettin Paşa Mahallesi,Aliağa,0.2839831539518727,0.0139531689818208
Bademalan Mahallesi,Kınık,0.5033438082563434,-0.0704912421153079
Bademler Mahallesi,Urla,0.4744603685533669,-0.061623843113209
Bademli Mahallesi,Ödemiş,0.486267630086635,-0.09642017704176176
Bahar Mahallesi,Karabağlar,0.1424341037964643,0.060616387351809
Bahariye Mahallesi,Tire,0.37797034691600184,-0.04838132062780265
Bahriye Üçok Mahallesi,Karabağlar,0.2056175244314758,0.04745863898558185
Bahçearası Mahallesi,Kiraz,0.4878710658806803,-0.0664836324947733
Bahçedere Mahallesi,Aliağa,0.2077043418771472,0.0929294910741519
Bahçelerarası Mahallesi,Balçova,0.37199404767741,-0.0752446324158024
Bahçeli Mahallesi,Dikili,0.4055731266951404,-0.0167565264834778
Bahçelievler Mahallesi,Torbalı,0.2308301709423347,0.03836866442115928
Bakırköy Mahallesi,Beydağ,0.4723550128077238,-0.0644267349855615
Balaban Mahallesi,Kınık,0.42702938764890797,-0.010853120957716351
Balabanlı Mahallesi,Ödemiş,0.4923854826533211,-0.0859818118788793
Balatçık Mahallesi,Çiğli,0.210820917828973,0.0131249782538546
Balcılar Mahallesi,Bayındır,0.6819049501939382,-0.2412254976573603
Ballıkuyu Mahallesi,Konak,0.1472127945873144,0.0729728604181576
Balıklıova Mahallesi,Urla,0.483855483334004,-0.0361168682377664
Barbaros Mahallesi,Urla,0.2651772945568158,0.03263571452965345
Barutçu Mahallesi,Selçuk,0.552383567334244,-0.1309827727639251
Barış Mahallesi,Karabağlar,0.1343628268919446,0.06905905544861085
Basın Sitesi Mahallesi,Karabağlar,0.1827232595756605,0.04818747423121
Bayraklı Mahallesi,Bayraklı,0.187388744821704,-0.0012990248905658
Bayramcılar Mahallesi,Bergama,0.46200949624723,-0.0028879308564894
