,precision,recall,f1-score,support
1_Too_Small_Capacity,0.5625,0.6428571428571429,0.6,56.0
2_Small_Capacity,0.6190476190476191,0.6132075471698113,0.6161137440758294,106.0
3_Average_Capacity,0.4642857142857143,0.3561643835616438,0.40310077519379844,73.0
4_Big_Capacity,0.42857142857142855,0.525,0.47191011235955055,40.0
5_Too_Big_Capacity,0.3125,0.3333333333333333,0.3225806451612903,15.0
accuracy,0.5275862068965518,0.5275862068965518,0.5275862068965518,0.5275862068965518
macro avg,0.47738095238095235,0.4941124813843863,0.4827410553580938,290.0
weighted avg,0.5270422824302134,0.5275862068965518,0.5243087159758159,290.0
