ILCE,MAHALLE,NUFUS,ALAN_M2,LST_C,NDVI,NDBI,KISI_BASI_M2,TARGET_AREA,AREA_DEFICIT,VULNERABILITY_RATIO
KIRAZ,KARABULU,446,3400.0,31.57599614209548,0.4635955143331195,-0.0116494173534008,7.62,669.0,0.0,0.0
BERGAMA,SULEYMANLI,139,380.0,36.70686160390133,0.380776081636514,-0.0295156082557046,2.73,208.5,0.0,0.0
ODEMIS,KUCUKOREN,367,7146.0,27.98329505441018,0.5514180981281163,-0.1022448950773098,19.47,550.5,0.0,0.0
MENDERES,DEGIRMENDERE,1634,7345.0,32.40233087552264,0.4685230589714821,-0.1208703634781813,4.5,2451.0,0.0,0.0
BERGAMA,KOZLUCA,252,450.0,35.784602833261346,0.481411860553409,-0.0977650639621438,1.79,378.0,0.0,0.0
KARSIYAKA,NERGIZ,8028,8750.0,35.67849684503826,0.1277135414568393,0.0890286745452432,1.09,12042.0,3292.0,27.33765155289819
BERGAMA,GULTEPE,23,210.0,32.96532901902594,0.4941140026769877,-0.1172785045912079,9.13,34.5,0.0,0.0
BERGAMA,MALTEPE,10899,21300.0,34.66907278568309,0.2342629669815801,0.0030885986073933,1.95,16348.5,0.0,0.0
ALIAGA,CORAKLAR,123,658.0,38.28254479087878,0.343857007397223,0.0361518234734949,5.35,184.5,0.0,0.0
MENDERES,GOLOVA,234,2610.0,30.3863661453354,0.5988202652442038,-0.1431535878404675,11.15,351.0,0.0,0.0
KEMALPASA,SARICALI,411,1841.0,37.15716115624414,0.4276582675029162,-0.0542578454500512,4.48,616.5,0.0,0.0
BAYRAKLI,ADALET,18405,28581.0,35.55010671496995,0.1771445975310206,0.011301458286529,1.55,27607.5,0.0,0.0
NARLIDERE,ALTIEVLER,2224,4297.0,33.34787442596526,0.3820294985208923,-0.0925695674806294,1.93,3336.0,0.0,0.0
GUZELBAHCE,SITELER,3002,26039.0,33.34989705507441,0.3481323312080346,-0.0610950699905661,8.67,4503.0,0.0,0.0
BORNOVA,CAMICI,295,2400.0,33.47314570641699,0.5292325328789281,-0.1295159193896294,8.14,442.5,0.0,0.0
BERGAMA,HAMZALISULEYMANIYE,109,700.0,37.20683696817593,0.3215210196569171,0.0317673543222538,6.42,163.5,0.0,0.0
ODEMIS,PIRINCCI,421,5675.0,32.06051747938449,0.5558231548662278,-0.1302655321162259,13.48,631.5,0.0,0.0
BEYDAG,YUKARIAKTEPE,299,1280.0,32.06121791984758,0.4714055225743536,-0.0184853074606236,4.28,448.5,0.0,0.0
BEYDAG,BEYKOY,291,3000.0,28.06055103003576,0.6015495624633511,-0.1547371674157651,10.31,436.5,0.0,0.0
ODEMIS,BICAKCI,1755,7455.0,27.129768761936123,0.5982447299962783,-0.1585292365432428,4.25,2632.5,0.0,0.0
NARLIDERE,HUZUR,6803,53002.0,32.32198161159445,0.4028440446005376,-0.0870739545132681,7.79,10204.5,0.0,0.0
BERGAMA,FATIH,20005,17963.0,35.44173026864477,0.3401622844698699,-0.0306950100915262,0.9,30007.5,12044.5,40.13829875864367
