ILCE,MAHALLE,ALAN_M2,NUFUS_2025,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027,KISI_BASI_M2_2025,KISI_BASI_M2_2026,KISI_BASI_M2_2027
KARSIYAKA,MUSTAFAKEMAL,10820.0,10406,10346,10287,1.04,1.05,1.05
CESME,ALACATI,11853.0,10715,10939,11168,1.11,1.08,1.06
GAZIEMIR,BEYAZEVLER,7400.0,6844,6859,6873,1.08,1.08,1.08
BAYRAKLI,MANSUROGLU,20813.0,19688,19465,19244,1.06,1.07,1.08
KARABAGLAR,ESENYALI,7920.0,7027,6945,6864,1.13,1.14,1.15
KONAK,KAHRAMANLAR,4960.0,3969,3907,3846,1.25,1.27,1.29
KIRAZ,ISTIKLAL,4780.0,3681,3676,3671,1.3,1.3,1.3
GAZIEMIR,SEVGI,9900.0,7499,7515,7531,1.32,1.32,1.31
BORNOVA,DOGANLAR,30000.0,22291,22476,22663,1.35,1.33,1.32
KARSIYAKA,BAHRIYEUCOK,15603.0,11988,11919,11851,1.3,1.31,1.32
BAYRAKLI,ORG.NAFIZGURMAN,17976.0,13851,13694,13539,1.3,1.31,1.33
BAYINDIR,HACIIBRAHIM,1900.0,1351,1348,1345,1.41,1.41,1.41
CIGLI,YENIMAHALLE,18295.0,12633,12676,12719,1.45,1.44,1.44
TORBALI,TEPEKOY,11192.0,7340,7519,7702,1.52,1.49,1.45
KARABAGLAR,VATAN,36350.0,24325,24041,23761,1.49,1.51,1.53
