ILCE,MAHALLE,NUFUS_2025,ARTIS_HIZI_BINDE,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027
Bayindir,Sogutoren Mah.,725,-2.07,723,722
Bayindir,Tokatbasi Mah.,525,-2.07,524,523
Bayindir,Turan Mah.,388,-2.07,387,386
Bayindir,Yakacik Mah.,567,-2.07,566,565
Bayindir,Yakapinar Mah.,863,-2.07,861,859
Bayindir,Yeni Mah.,691,-2.07,690,688
Bayindir,Yenice Mah.,115,-2.07,115,115
Bayindir,Yesilova Mah.,732,-2.07,730,729
Bayindir,Yusuflu Mah.,835,-2.07,833,832
Bayindir,Zeytinova Mah.,1184,-2.07,1182,1179
Bayindir,Camlibel Mah.,292,-2.07,291,291
Bayindir,Cenikler Mah.,57,-2.07,57,57
Bayindir,Ciftcigedigi Mah.,213,-2.07,213,212
Bayindir,Cinar Mah.,114,-2.07,114,114
Bayindir,Cinardibi Mah.,731,-2.07,729,728
Bayindir,Cirpi Cami Mah.,1045,-2.07,1043,1041
Bayindir,Ibrahimcavus Mah.,618,-2.07,617,615
Bergama,Ahmetbeyler Mah.,248,1.88,248,249
Bergama,Akcenger Mah.,180,1.88,180,181
Bergama,Alacalar Mah.,107,1.88,107,107
Bergama,Alhatli Mah.,228,1.88,228,229
Bergama,Alibeyli Mah.,394,1.88,395,395
Bergama,Armaganlar Mah.,105,1.88,105,105
Bergama,Ataturk Mah.,6035,1.88,6046,6058
Bergama,Atmaca Mah.,1921,1.88,1925,1928
Bergama,Atcilar Mah.,56,1.88,56,56
Bergama,Avunduk Mah.,24,1.88,24,24
Bergama,Avunduruk Mah.,46,1.88,46,46
Bergama,Ayaskent Mah.,643,1.88,644,645
Bergama,Ayvatlar Mah.,195,1.88,195,196
Bergama,Aziziye Mah.,300,1.88,301,301
Bergama,Asagibey Mah.,475,1.88,476,477
Bergama,Asagicuma Mah.,475,1.88,476,477
Bergama,Asagikiriklar Mah.,476,1.88,477,478
Bergama,Asagiilgindere Mah.,79,1.88,79,79
Bergama,Bahcelievler Mah.,6736,1.88,6749,6761
Bergama,Balaban Mah.,23,1.88,23,23
Bergama,Barbaros Mah.,513,1.88,514,515
Bergama,Bayramcilar Mah.,142,1.88,142,143
Bergama,Bekirler Mah.,18,1.88,18,18
Bergama,Bozkoy Mah.,256,1.88,256,257
Bergama,Bozyerler Mah.,240,1.88,240,241
Bergama,Bolcek Mah.,945,1.88,947,949
Bergama,Cevapli Mah.,60,1.88,60,60
Bergama,Dagistan Mah.,546,1.88,547,548
Bergama,Demircidere Mah.,116,1.88,116,116
Bergama,Derekoy Mah.,116,1.88,116,116
Bergama,Doganci Mah.,118,1.88,118,118
Bergama,Durmuslar Mah.,366,1.88,367,367
Bergama,Ertugrul Mah.,2399,1.88,2404,2408
Bergama,Egiller Mah.,135,1.88,135,136
Bergama,Egrigol Mah.,159,1.88,159,160
Bergama,Fatih Mah.,20005,1.88,20043,20080
Bergama,Ferizler Mah.,145,1.88,145,146
Bergama,Fevzipasa Mah.,2905,1.88,2910,2916
Bergama,Gaylan Mah.,128,1.88,128,128
Bergama,Gaziosmanpasa Mah.,8637,1.88,8653,8670
Bergama,Gazipasa Mah.,506,1.88,507,508
Bergama,Gobeller Mah.,291,1.88,292,292
Bergama,Gokceyurt Mah.,41,1.88,41,41
Bergama,Gocbeyli Mah.,1429,1.88,1432,1434
Bergama,Gultepe Mah.,23,1.88,23,23
Bergama,Gunesli Mah.,232,1.88,232,233
Bergama,Hacihamzalar Mah.,198,1.88,198,199
Bergama,Hacilar (Derekoy Bucagi) Mah.,156,1.88,156,157
Bergama,Hacilar (Ismailli Bucagi) Mah.,117,1.88,117,117
Bergama,Halilagalar Mah.,76,1.88,76,76
Bergama,Hamzalisuleymaniye Mah.,109,1.88,109,109
Bergama,Hisarkoy Mah.,160,1.88,160,161
Bergama,Ilgincaber Mah.,58,1.88,58,58
Bergama,Kadikoy Mah.,400,1.88,401,402
Bergama,Kaleardi Mah.,65,1.88,65,65
Bergama,Kaplan (Gocbeyli Bucagi) Mah.,54,1.88,54,54
Bergama,Kaplan (Yukaribey Bucagi) Mah.,265,1.88,265,266
Bergama,Kapukaya Mah.,41,1.88,41,41
Bergama,Karahidirli Mah.,150,1.88,150,151
Bergama,Karalar Mah.,242,1.88,242,243
Bergama,Karaveliler Mah.,512,1.88,513,514
Bergama,Katranci Mah.,128,1.88,128,128
Bergama,Kasikci Mah.,144,1.88,144,145
Bergama,Kocahaliller Mah.,18,1.88,18,18
Bergama,Kocakoy Mah.,28,1.88,28,28
Bergama,Koyuneli Mah.,294,1.88,295,295
Bergama,Kozluca Mah.,252,1.88,252,253
Bergama,Kurfalli Mah.,242,1.88,242,243
Bergama,Kurtulus Mah.,2088,1.88,2092,2096
Bergama,Kucukkaya Mah.,614,1.88,615,616
Bergama,Kiranli Mah.,372,1.88,373,373
Bergama,Kircalar Mah.,124,1.88,124,124
Bergama,Kiziltepe Mah.,79,1.88,79,79
Bergama,Mahmudiye Mah.,196,1.88,196,197
Bergama,Maltepe Mah.,10899,1.88,10919,10940
Bergama,Maruflar Mah.,40,1.88,40,40
Bergama,Muratlar Mah.,77,1.88,77,77
Bergama,Narlica Mah.,758,1.88,759,761
Bergama,Okcular Mah.,205,1.88,205,206
Bergama,Oruslar Mah.,359,1.88,360,360
Bergama,Ovacik Mah.,271,1.88,272,272
Bergama,Pasakoy Mah.,115,1.88,115,115
Bergama,Pirveliler Mah.,130,1.88,130,130
Bergama,Pinarkoy Mah.,853,1.88,855,856
Bergama,Rahmanlar Mah.,92,1.88,92,92
Bergama,Saricalar Mah.,228,1.88,228,229
