ILCE,MAHALLE,NUFUS_2025,ARTIS_HIZI_BINDE,TAHMINI_NUFUS_2026,TAHMINI_NUFUS_2027
Karabaglar,Metin Oktay Mah.,6496,-11.66,6420,6345
Karabaglar,Muammer Akar Mah.,6857,-11.66,6777,6698
Karabaglar,Osman Aksuner Mah.,683,-11.66,675,667
Karabaglar,Peker Mah.,10527,-11.66,10404,10283
Karabaglar,Poligon Mah.,3929,-11.66,3883,3838
Karabaglar,Refet Bele Mah.,12088,-11.66,11947,11808
Karabaglar,Reis Mah.,10043,-11.66,9926,9810
Karabaglar,Salih Omurtak Mah.,5730,-11.66,5663,5597
Karabaglar,Sariyer Mah.,8403,-11.66,8305,8208
Karabaglar,Selvili Mah.,8434,-11.66,8336,8238
Karabaglar,Sevgi Mah.,9726,-11.66,9613,9501
Karabaglar,Tahsin Yazici Mah.,8820,-11.66,8717,8616
Karabaglar,Tirazli Mah.,151,-11.66,149,147
Karabaglar,Umut Mah.,9769,-11.66,9655,9543
Karabaglar,Uzundere Mah.,4049,-11.66,4002,3955
Karabaglar,Ugur Mumcu Mah.,8391,-11.66,8293,8196
Karabaglar,Vatan Mah.,24325,-11.66,24041,23761
Karabaglar,Yasar Kemal Mah.,7850,-11.66,7758,7668
Karabaglar,Yunus Emre Mah.,21457,-11.66,21207,20960
Karabaglar,Yurdoglu Mah.,10245,-11.66,10126,10007
Karabaglar,Yuzbasi Serafettin Mah.,6085,-11.66,6014,5944
Karabaglar,Calikusu Mah.,10911,-11.66,10784,10658
Karabaglar,Ozgur Mah.,5506,-11.66,5442,5378
Karabaglar,Uckuyular Mah.,8962,-11.66,8858,8754
Karabaglar,Ihsan Alyanak Mah.,10415,-11.66,10294,10174
Karabaglar,Sehitler Mah.,3220,-11.66,3182,3145
Karaburun,Anbarseki Mah.,253,18.53,258,262
Karaburun,Bozkoy Mah.,247,18.53,252,256
Karaburun,Eglenhoca Mah.,507,18.53,516,526
Karaburun,Hasseki Mah.,137,18.53,140,142
Karaburun,Kosedere Mah.,488,18.53,497,506
Karaburun,Kucukbahce Mah.,542,18.53,552,562
Karaburun,Merkez Mah.,1344,18.53,1369,1394
Karaburun,Mordogan Mah.,6249,18.53,6365,6483
Karaburun,Parlak Mah.,156,18.53,159,162
Karaburun,Saip Mah.,519,18.53,529,538
Karaburun,Salman Mah.,132,18.53,134,137
Karaburun,Sarpincik Mah.,141,18.53,144,146
Karaburun,Tepeboz Mah.,371,18.53,378,385
Karaburun,Yayla Mah.,87,18.53,89,90
Karaburun,Inecik Mah.,271,18.53,276,281
Karaburun,Iskele Mah.,2281,18.53,2323,2366
Karsiyaka,Aksoy Mah.,10728,-5.74,10666,10605
Karsiyaka,Alaybey Mah.,6990,-5.74,6950,6910
Karsiyaka,Atakent Mah.,6172,-5.74,6137,6101
Karsiyaka,Bahariye Mah.,11814,-5.74,11746,11679
Karsiyaka,Bahriye Ucok Mah.,11988,-5.74,11919,11851
Karsiyaka,Bahcelievler Mah.,24687,-5.74,24545,24404
Karsiyaka,Bostanli Mah.,29564,-5.74,29394,29226
Karsiyaka,Cumhuriyet Mah.,12934,-5.74,12860,12786
Karsiyaka,Dedebasi Mah.,20015,-5.74,19900,19786
Karsiyaka,Demirkopru Mah.,6811,-5.74,6772,6733
Karsiyaka,Donanmaci Mah.,9507,-5.74,9452,9398
Karsiyaka,Fikri Altay Mah.,7952,-5.74,7906,7861
Karsiyaka,Goncalar Mah.,9169,-5.74,9116,9064
Karsiyaka,Latife Hanim Mah.,2316,-5.74,2303,2289
Karsiyaka,Mavisehir Mah.,13952,-5.74,13872,13792
Karsiyaka,Mustafa Kemal Mah.,10406,-5.74,10346,10287
Karsiyaka,Nergiz Mah.,8028,-5.74,7982,7936
Karsiyaka,Sancakli Mah.,176,-5.74,175,174
Karsiyaka,Tersane Mah.,6431,-5.74,6394,6357
Karsiyaka,Tuna Mah.,5499,-5.74,5467,5436
Karsiyaka,Yali Mah.,36948,-5.74,36736,36525
Karsiyaka,Yamanlar Mah.,143,-5.74,142,141
Karsiyaka,Zubeyde Hanim Mah.,17046,-5.74,16948,16851
Karsiyaka,Ornekkoy Mah.,24290,-5.74,24151,24012
Karsiyaka,Imbatli Mah.,8890,-5.74,8839,8788
Karsiyaka,Inonu Mah.,8217,-5.74,8170,8123
Karsiyaka,Semikler Mah.,28951,-5.74,28785,28620
Kemalpasa,Akalan Mah.,1257,20.27,1282,1308
Kemalpasa,Ansizca Mah.,618,20.27,631,643
Kemalpasa,Armutlu 85.Yil Cumhuriyet Mah.,5252,20.27,5358,5467
Kemalpasa,Armutlu Hurriyet Mah.,5546,20.27,5658,5773
Kemalpasa,Ataturk Mah.,5902,20.27,6022,6144
Kemalpasa,Asagi Yenmis Mah.,588,20.27,600,612
Kemalpasa,Asagikizilca Mah.,1632,20.27,1665,1699
Kemalpasa,Bayramli Mah.,142,20.27,145,148
Kemalpasa,Bagyurdu 29 Ekim Mah.,1823,20.27,1860,1898
Kemalpasa,Bagyurdu Kazimpasa Mah.,2612,20.27,2665,2719
Kemalpasa,Bagyurdu Kemal Ataturk Mah.,260,20.27,265,271
Kemalpasa,Bagyurdu Yeni Mah.,1757,20.27,1793,1829
Kemalpasa,Bespinar Mah.,137,20.27,140,143
Kemalpasa,Cumali Mah.,184,20.27,188,192
Kemalpasa,Damlacik Mah.,1336,20.27,1363,1391
Kemalpasa,Derekoy Mah.,416,20.27,424,433
Kemalpasa,Gokyaka Mah.,111,20.27,113,116
Kemalpasa,Gokceyurt Mah.,248,20.27,253,258
Kemalpasa,Halilbeyli Mah.,1408,20.27,1437,1466
Kemalpasa,Hamzababa Mah.,100,20.27,102,104
Kemalpasa,Kamberler Mah.,169,20.27,172,176
Kemalpasa,Kuyucak Mah.,685,20.27,699,713
Kemalpasa,Kiziluzum Mah.,791,20.27,807,823
Kemalpasa,Mehmet Akif Ersoy Mah.,19913,20.27,20317,20728
Kemalpasa,Nazarkoy Mah.,345,20.27,352,359
Kemalpasa,Ovacik Mah.,224,20.27,229,233
Kemalpasa,Sarilar Mah.,1009,20.27,1029,1050
Kemalpasa,Saricali Mah.,411,20.27,419,428
Kemalpasa,Sekiz Eylul Mah.,15563,20.27,15878,16200
Kemalpasa,Sinancilar Mah.,722,20.27,737,752
Kemalpasa,Sogukpinar Mah.,9920,20.27,10121,10326
Kemalpasa,Sutculer Mah.,4282,20.27,4369,4457
Kemalpasa,Ulucak Cumhuriyet Mah.,3888,20.27,3967,4047
Kemalpasa,Ulucak Mustafa Kemal Ataturk Mah.,6658,20.27,6793,6931
Kemalpasa,Ulucak Istiklal Mah.,5599,20.27,5712,5828
Kemalpasa,Visneli Mah.,627,20.27,640,653
Kemalpasa,Yenikurudere Mah.,317,20.27,323,330
Kemalpasa,Yenmis Mah.,343,20.27,350,357
Kemalpasa,Yesilkoy Mah.,143,20.27,146,149
Kemalpasa,Yesilyurt Mah.,158,20.27,161,164
Kemalpasa,Yigitler Mah.,1573,20.27,1605,1637
Kemalpasa,Yukarikizilca Merkez Mah.,2788,20.27,2845,2902
Kemalpasa,Zeamet Mah.,75,20.27,77,78
Kemalpasa,Cambel Mah.,4730,20.27,4826,4924
Kemalpasa,Cinilikoy Mah.,569,20.27,581,592
Kemalpasa,Cinarkoy Mah.,1233,20.27,1258,1283
Kemalpasa,Oren 75.Yil Cumhuriyet Mah.,3866,20.27,3944,4024
Kemalpasa,Oren Egemen Mah.,619,20.27,632,644
Kemalpasa,Ornekkoy Mah.,4141,20.27,4225,4311
Kiraz,Ahmetler Mah.,138,-1.41,138,138
Kiraz,Akpinar Mah.,1281,-1.41,1279,1277
Kiraz,Altinoluk Mah.,472,-1.41,471,471
Kiraz,Arkacilar Mah.,371,-1.41,370,370
Kiraz,Avunduruk Mah.,139,-1.41,139,139
Kiraz,Aydogdu Mah.,313,-1.41,313,312
Kiraz,Bahcearasi Mah.,444,-1.41,443,443
Kiraz,Basaran Mah.,319,-1.41,319,318
Kiraz,Ceritler Mah.,741,-1.41,740,739
Kiraz,Cevizli Mah.,1334,-1.41,1332,1330
Kiraz,Cumhuriyet Mah.,2759,-1.41,2755,2751
Kiraz,Dokuzlar Mah.,409,-1.41,408,408
Kiraz,Dogancilar Mah.,1303,-1.41,1301,1299
Kiraz,Emenler Mah.,316,-1.41,316,315
Kiraz,Gedik Mah.,330,-1.41,330,329
Kiraz,Haliller Mah.,1209,-1.41,1207,1206
Kiraz,Hisar Mah.,439,-1.41,438,438
Kiraz,Kalekoy Mah.,456,-1.41,455,455
Kiraz,Karabag Mah.,218,-1.41,218,217
Kiraz,Karabulu Mah.,446,-1.41,445,445
Kiraz,Karaburc Mah.,2505,-1.41,2501,2498
Kiraz,Karaman Mah.,463,-1.41,462,462
Kiraz,Kibar Mah.,390,-1.41,389,389
Kiraz,Kirkoy Mah.,655,-1.41,654,653
Kiraz,Mavidere Mah.,679,-1.41,678,677
Kiraz,Mersinlidere Mah.,556,-1.41,555,554
Kiraz,Olgunlar Mah.,1476,-1.41,1474,1472
Kiraz,Ovacik Mah.,333,-1.41,333,332
Kiraz,Pinarbasi Mah.,118,-1.41,118,118
Kiraz,Sarikaya Mah.,414,-1.41,413,413
Kiraz,Sarisu Mah.,367,-1.41,366,366
Kiraz,Sacli Mah.,279,-1.41,279,278
Kiraz,Solaklar Mah.,853,-1.41,852,851
Kiraz,Suludere Mah.,1416,-1.41,1414,1412
Kiraz,Sirimli Mah.,620,-1.41,619,618
Kiraz,Tasliyatak Mah.,434,-1.41,433,433
Kiraz,Tekbicaklar Mah.,461,-1.41,460,460
Kiraz,Tumbullar Mah.,256,-1.41,256,255
Kiraz,Umurcali Mah.,483,-1.41,482,482
Kiraz,Umurlu Mah.,926,-1.41,925,923
Kiraz,Uzunkoy Mah.,371,-1.41,370,370
Kiraz,Veliler Mah.,424,-1.41,423,423
Kiraz,Yaglar Mah.,448,-1.41,447,447
Kiraz,Yeni Mah.,2896,-1.41,2892,2888
Kiraz,Yenikoy Mah.,573,-1.41,572,571
Kiraz,Yenisehir Mah.,410,-1.41,409,409
Kiraz,Yesildere Mah.,342,-1.41,342,341
Kiraz,Canakci Mah.,286,-1.41,286,285
Kiraz,Catak Mah.,294,-1.41,294,293
Kiraz,Cayagzi Mah.,2128,-1.41,2125,2122
Kiraz,Comlekci Mah.,762,-1.41,761,760
Kiraz,Oren Mah.,590,-1.41,589,588
Kiraz,Orencik Mah.,975,-1.41,974,972
Kiraz,Istiklal Mah.,3681,-1.41,3676,3671
Kiraz,Igdeli Mah.,1458,-1.41,1456,1454
Kiraz,Semsiler Mah.,581,-1.41,580,579
Konak,1.Kadriye Mah.,6868,-15.61,6761,6655
Konak,19 Mayis Mah.,2593,-15.61,2553,2513
Konak,2.Kadriye Mah.,6167,-15.61,6071,5976
Konak,26 Agustos Mah.,2403,-15.61,2365,2329
Konak,Akarcali Mah.,3006,-15.61,2959,2913
Konak,Akdeniz Mah.,317,-15.61,312,307
Konak,Akin Simav Mah.,3733,-15.61,3675,3617
Konak,Akinci Mah.,377,-15.61,371,365
Konak,Ali Reis Mah.,1211,-15.61,1192,1173
Konak,Alsancak Mah.,5388,-15.61,5304,5221
Konak,Altay Mah.,619,-15.61,609,600
Konak,Altinordu Mah.,695,-15.61,684,673
Konak,Altintas Mah.,5009,-15.61,4931,4854
Konak,Anadolu Mah.,1642,-15.61,1616,1591
Konak,Atamer Mah.,2906,-15.61,2861,2816
Konak,Atilla Mah.,10889,-15.61,10719,10552
Konak,Aziziye Mah.,3740,-15.61,3682,3624
Konak,Ballikuyu Mah.,2955,-15.61,2909,2863
Konak,Barbaros Mah.,6399,-15.61,6299,6201
Konak,Bozkurt Mah.,183,-15.61,180,177
Konak,Bogazici Mah.,3029,-15.61,2982,2935
Konak,Cengiz Topel Mah.,2018,-15.61,1986,1955
Konak,Dayiemir Mah.,564,-15.61,555,547
Konak,Dolaplikuyu Mah.,810,-15.61,797,785
Konak,Duatepe Mah.,2299,-15.61,2263,2228
Konak,Ege Mah.,2170,-15.61,2136,2103
Konak,Emir Sultan Mah.,1665,-15.61,1639,1613
Konak,Etiler Mah.,1366,-15.61,1345,1324
Konak,Faik Pasa Mah.,1062,-15.61,1045,1029
Konak,Fatih Mah.,492,-15.61,484,477
Konak,Ferahli Mah.,6877,-15.61,6770,6664
Konak,Fevzi Pasa Mah.,58,-15.61,57,56
Konak,Goztepe Mah.,15322,-15.61,15083,14847
Konak,Guney Mah.,3774,-15.61,3715,3657
Konak,Gunes Mah.,46,-15.61,45,45
Konak,Gunesli Mah.,7588,-15.61,7470,7353
Konak,Gungor Mah.,1029,-15.61,1013,997
Konak,Guzelyali Mah.,16508,-15.61,16250,15997
Konak,Guzelyurt Mah.,18,-15.61,18,17
Konak,Halkapinar Mah.,1395,-15.61,1373,1352
Konak,Hasan Ozdemir Mah.,2717,-15.61,2675,2633
Konak,Hilal Mah.,2228,-15.61,2193,2159
Konak,Hursidiye Mah.,49,-15.61,48,47
Konak,Huzur Mah.,1991,-15.61,1960,1929
Konak,Kadifekale Mah.,2685,-15.61,2643,2602
Konak,Kahraman Mescit Mah.,139,-15.61,137,135
Konak,Kahramanlar Mah.,3969,-15.61,3907,3846
Konak,Kemal Reis Mah.,3350,-15.61,3298,3246
Konak,Kestelli Mah.,49,-15.61,48,47
Konak,Kocakapi Mah.,2240,-15.61,2205,2171
Konak,Kocatepe Mah.,2023,-15.61,1991,1960
Konak,Konak Mah.,83,-15.61,82,80
Konak,Kosova Mah.,1580,-15.61,1555,1531
Konak,Kubilay Mah.,1861,-15.61,1832,1803
Konak,Kurtulus Mah.,96,-15.61,95,93
Konak,Kultur Mah.,7689,-15.61,7569,7451
Konak,Kucukada Mah.,1525,-15.61,1501,1478
Konak,Kilic Reis Mah.,6684,-15.61,6580,6477
Konak,Lale Mah.,3347,-15.61,3295,3243
Konak,Levent Mah.,3676,-15.61,3619,3562
Konak,Mecidiye Mah.,403,-15.61,397,391
Konak,Mehmet Akif Mah.,2618,-15.61,2577,2537
Konak,Mehmet Ali Akman Mah.,6336,-15.61,6237,6140
Konak,Mehtap Mah.,3138,-15.61,3089,3041
Konak,Mersinli Mah.,2024,-15.61,1992,1961
Konak,Millet Mah.,4427,-15.61,4358,4290
Konak,Mimar Sinan Mah.,5836,-15.61,5745,5655
Konak,Mirali Mah.,747,-15.61,735,724
Konak,Mithatpasa Mah.,7216,-15.61,7103,6992
Konak,Murat Mah.,4866,-15.61,4790,4715
Konak,Murat Reis Mah.,11182,-15.61,11007,10836
Konak,Namik Kemal Mah.,310,-15.61,305,300
Konak,Odunkapi Mah.,199,-15.61,196,193
Konak,Oguzlar Mah.,98,-15.61,96,95
Konak,Pazaryeri Mah.,1030,-15.61,1014,998
Konak,Piri Reis Mah.,4344,-15.61,4276,4209
Konak,Sakarya Mah.,597,-15.61,588,579
Konak,Saygi Mah.,4157,-15.61,4092,4028
Konak,Selcuk Mah.,2753,-15.61,2710,2668
Konak,Sumer Mah.,49,-15.61,48,47
Konak,Suvari Mah.,1529,-15.61,1505,1482
Konak,Tan Mah.,98,-15.61,96,95
Konak,Trakya Mah.,1399,-15.61,1377,1356
Konak,Turgut Reis Mah.,2752,-15.61,2709,2667
Konak,Tuzcu Mah.,1524,-15.61,1500,1477
Konak,Turkyilmaz Mah.,295,-15.61,290,286
Konak,Tinaztepe Mah.,1861,-15.61,1832,1803
Konak,Ulubatli Mah.,7668,-15.61,7548,7430
Konak,Umurbey Mah.,268,-15.61,264,260
Konak,Ugur Mah.,26,-15.61,26,25
Konak,Veziraga Mah.,61,-15.61,60,59
Konak,Yavuz Selim Mah.,1371,-15.61,1350,1329
Konak,Yeni Mah.,649,-15.61,639,629
Konak,Yenidogan Mah.,1760,-15.61,1733,1705
Konak,Yenigun Mah.,19,-15.61,19,18
Konak,Yenisehir Mah.,2943,-15.61,2897,2852
Konak,Yesildere Mah.,1290,-15.61,1270,1250
Konak,Yesiltepe Mah.,912,-15.61,898,884
Konak,Yildiz Mah.,132,-15.61,130,128
Konak,Zafertepe Mah.,12077,-15.61,11888,11703
Konak,Zeybek Mah.,1573,-15.61,1548,1524
Konak,Zeytinlik Mah.,7008,-15.61,6899,6791
Konak,Cahabey Mah.,422,-15.61,415,409
Konak,Cankaya Mah.,9788,-15.61,9635,9485
Konak,Cimentepe Mah.,2959,-15.61,2913,2867
Konak,Cinarli Mah.,549,-15.61,540,532
Konak,Cinartepe Mah.,5051,-15.61,4972,4895
Konak,Ulku Mah.,1163,-15.61,1145,1127
Konak,Imariye Mah.,59,-15.61,58,57
Konak,Ismet Kaptan Mah.,426,-15.61,419,413
Konak,Ismet Pasa Mah.,4120,-15.61,4056,3992
Konak,Sehit Nedim Tugaltay Mah.,146,-15.61,144,141
Kinik,Arpadere Mah.,294,-8.88,291,289
Kinik,Arpaseki Mah.,744,-8.88,737,731
Kinik,Aziziye Mah.,201,-8.88,199,197
Kinik,Asagi Mah.,1288,-8.88,1277,1265
Kinik,Bademalan Mah.,273,-8.88,271,268
Kinik,Balaban Mah.,122,-8.88,121,120
Kinik,Bagalan Mah.,493,-8.88,489,484
Kinik,Buyukoba Mah.,252,-8.88,250,248
Kinik,Cumali Mah.,280,-8.88,278,275
Kinik,Degirmencieli Mah.,100,-8.88,99,98
Kinik,Dundarli Mah.,306,-8.88,303,301
Kinik,Elmadere Mah.,533,-8.88,528,524
Kinik,Fatih Mah.,4389,-8.88,4350,4311
Kinik,Hamzahocali Mah.,221,-8.88,219,217
Kinik,Isiklar Mah.,206,-8.88,204,202
Kinik,Kalemkoy Mah.,130,-8.88,129,128
Kinik,Karadere Mah.,138,-8.88,137,136
Kinik,Karatekeli Mah.,97,-8.88,96,95
Kinik,Kocaomer Mah.,298,-8.88,295,293
Kinik,Kodukburun Mah.,26,-8.88,26,26
Kinik,Koseler Mah.,306,-8.88,303,301
Kinik,Musacali Mah.,56,-8.88,56,55
Kinik,Mistiklar Mah.,196,-8.88,194,193
Kinik,Osmaniye Mah.,3160,-8.88,3132,3104
Kinik,Poyracik Mah.,6000,-8.88,5947,5894
Kinik,Sucahli Mah.,187,-8.88,185,184
Kinik,Tastepe Mah.,575,-8.88,570,565
Kinik,Turkcedit Mah.,2032,-8.88,2014,1996
Kinik,Yayakent Mah.,1352,-8.88,1340,1328
Kinik,Yaylakoy Mah.,258,-8.88,256,253
Kinik,Yeni Mah.,2015,-8.88,1997,1979
Kinik,Yukari Mah.,679,-8.88,673,667
Kinik,Calti Mah.,386,-8.88,383,379
Kinik,Cankoy Mah.,222,-8.88,220,218
Kinik,Ciftlikkoy Mah.,133,-8.88,132,131
Kinik,Ortulu Mah.,544,-8.88,539,534
Kinik,Ibrahimaga Mah.,111,-8.88,110,109
Menderes,Ahmetbeyli Mah.,1073,12.48,1086,1100
Menderes,Akcakoy Mah.,463,12.48,469,475
Menderes,Altintepe Mah.,3871,12.48,3919,3968
Menderes,Ata Mah.,2203,12.48,2230,2258
Menderes,Atakoy Mah.,1877,12.48,1900,1924
Menderes,Barbaros Mah.,5165,12.48,5229,5295
Menderes,Bulgurca Mah.,2079,12.48,2105,2131
Menderes,Cuneytbey Mah.,9245,12.48,9360,9477
Menderes,Derekoy Mah.,1756,12.48,1778,1800
Menderes,Develi Mah.,2556,12.48,2588,2620
Menderes,Degirmendere Mah.,1634,12.48,1654,1675
Menderes,Efemcukuru Mah.,428,12.48,433,439
Menderes,Gazipasa Mah.,5486,12.48,5554,5624
Menderes,Golcukler Mah.,6109,12.48,6185,6262
Menderes,Golova Mah.,234,12.48,237,240
Menderes,Gorece Cumhuriyet Mah.,2831,12.48,2866,2902
Menderes,Gumuldur Ataturk Mah.,1613,12.48,1633,1654
Menderes,Gumuldur Cumhuriyet Mah.,780,12.48,790,800
Menderes,Gumuldur Fevzi Cakmak Mah.,4639,12.48,4697,4756
Menderes,Gumuldur Inonu Mah.,1127,12.48,1141,1155
Menderes,Hurriyet Mah.,4099,12.48,4150,4202
Menderes,Karakuyu Mah.,979,12.48,991,1004
Menderes,Kasimpasa Mah.,7077,12.48,7165,7255
Menderes,Keler Mah.,144,12.48,146,148
Menderes,Kemalpasa Mah.,10672,12.48,10805,10940
Menderes,Kuyucak Mah.,163,12.48,165,167
Menderes,Kuner Mah.,2780,12.48,2815,2850
Menderes,Kisik Mah.,481,12.48,487,493
Menderes,Mithatpasa Mah.,6915,12.48,7001,7089
Menderes,Orta Mah.,2910,12.48,2946,2983
Menderes,Oglananasi Ataturk Mah.,1409,12.48,1427,1444
Menderes,Oglananasi Cumhuriyet Mah.,1083,12.48,1097,1110
Menderes,Sancakli Mah.,855,12.48,866,876
Menderes,Tekeli Ataturk Mah.,1556,12.48,1575,1595
Menderes,Tekeli Fevzi Cakmak Mah.,1529,12.48,1548,1567
Menderes,Yenikoy Mah.,1060,12.48,1073,1087
Menderes,Cakaltepe Mah.,673,12.48,681,690
Menderes,Camonu Mah.,1791,12.48,1813,1836
Menderes,Catalca Mah.,606,12.48,614,621
Menderes,Cile Mah.,788,12.48,798,808
Menderes,Cileme Mah.,1931,12.48,1955,1979
Menderes,Cukuralti Mah.,6000,12.48,6075,6151
Menderes,Ozdere Cumhuriyet Mah.,1654,12.48,1675,1696
Menderes,Sasal Mah.,518,12.48,524,531
Menemen,29 Ekim Mah.,9055,28.06,9309,9570
Menemen,30 Agustos Mah.,19083,28.06,19618,20169
Menemen,75.Yil Cumhuriyet Mah.,457,28.06,470,483
Menemen,85.Yil Cumhuriyet Mah.,1964,28.06,2019,2076
Menemen,9 Eylul Mah.,10552,28.06,10848,11152
Menemen,Ahihidir Mah.,2494,28.06,2564,2636
Menemen,Alanici Mah.,379,28.06,390,401
Menemen,Ataturk Mah.,3906,28.06,4016,4128
Menemen,Ayvacik Mah.,402,28.06,413,425
Menemen,Bagcilar Mah.,167,28.06,172,177
Menemen,Belen Mah.,294,28.06,302,311
Menemen,Bozalan Mah.,273,28.06,281,289
Menemen,Buruncuk Mah.,442,28.06,454,467
Menemen,Camiikebir Mah.,1412,28.06,1452,1492
Menemen,Cumhuriyet Mah.,3773,28.06,3879,3988
Menemen,Degirmendere Mah.,1220,28.06,1254,1289
Menemen,Doga Mah.,576,28.06,592,609
Menemen,Emiralem Merkez Mah.,1484,28.06,1526,1568
Menemen,Esatpasa Mah.,9611,28.06,9881,10158
Menemen,Fatih Mah.,1462,28.06,1503,1545
Menemen,Gaybi Mah.,568,28.06,584,600
Menemen,Gazi Mah.,6038,28.06,6207,6382
Menemen,Gazi Mustafa Kemal Mah.,4504,28.06,4630,4760
Menemen,Goktepe Mah.,845,28.06,869,893
Menemen,Golcuk Mah.,7861,28.06,8082,8308
Menemen,Gorece Mah.,362,28.06,372,383
Menemen,Gunerli Mah.,243,28.06,250,257
Menemen,Hasanlar Mah.,299,28.06,307,316
Menemen,Hatundere Mah.,3329,28.06,3422,3518
Menemen,Haykiran Mah.,1034,28.06,1063,1093
Menemen,Irmak Mah.,8390,28.06,8625,8867
Menemen,Karaorman Mah.,109,28.06,112,115
Menemen,Kasimpasa Mah.,15287,28.06,15716,16157
Menemen,Kazimpasa Mah.,3021,28.06,3106,3193
Menemen,Kemal Ataturk Mah.,6457,28.06,6638,6824
Menemen,Kesik Mah.,731,28.06,752,773
Menemen,Kir Mah.,261,28.06,268,276
Menemen,Mermerli Mah.,7981,28.06,8205,8435
Menemen,Musabey Mah.,295,28.06,303,312
Menemen,Mustafa Kemal Ataturk Mah.,490,28.06,504,518
Menemen,Seydinnasrullah Mah.,592,28.06,609,626
Menemen,Suleymanli Mah.,527,28.06,542,557
Menemen,Suzbeyli Mah.,43,28.06,44,45
Menemen,Telekler Mah.,143,28.06,147,151
Menemen,Turgutlar Mah.,53,28.06,54,56
Menemen,Tuzcullu Mah.,278,28.06,286,294
Menemen,Tulbentli Mah.,2220,28.06,2282,2346
Menemen,Ulus Mah.,4062,28.06,4176,4293
Menemen,Ugur Mumcu Mah.,16975,28.06,17451,17941
Menemen,Villakent Mah.,2915,28.06,2997,3081
Menemen,Yahselli Mah.,4668,28.06,4799,4934
Menemen,Yanikkoy Mah.,704,28.06,724,744
Menemen,Yayla Mah.,987,28.06,1015,1043
Menemen,Yesil Pinar Mah.,4240,28.06,4359,4481
Menemen,Yildirim Mah.,1342,28.06,1380,1418
Menemen,Zafer Mah.,1223,28.06,1257,1293
Menemen,Zeytinlik Mah.,3063,28.06,3149,3237
Menemen,Calti Mah.,244,28.06,251,258
Menemen,Cavus Mah.,398,28.06,409,421
Menemen,Cukurkoy Mah.,689,28.06,708,728
Menemen,Incirli Pinar Mah.,6091,28.06,6262,6438
Menemen,Inonu Mah.,3049,28.06,3135,3223
Menemen,Ismet Inonu Mah.,13116,28.06,13484,13862
Menemen,Istiklal Mah.,15651,28.06,16090,16542
Menemen,Ignedere Mah.,125,28.06,129,132
Narlidere,2. Inonu Mah.,8492,-6.7,8435,8379
Narlidere,Altievler Mah.,2224,-6.7,2209,2194
Narlidere,Ataturk Mah.,5363,-6.7,5327,5291
Narlidere,Huzur Mah.,6803,-6.7,6757,6712
Narlidere,Ilica Mah.,8231,-6.7,8176,8121
Narlidere,Limanreis Mah.,3213,-6.7,3191,3170
Narlidere,Narli Mah.,7321,-6.7,7272,7223
Narlidere,Sahilevleri Mah.,2016,-6.7,2002,1989
Narlidere,Yenikale Mah.,5217,-6.7,5182,5147
Narlidere,Camtepe Mah.,5952,-6.7,5912,5873
Narlidere,Catalkaya Mah.,6488,-6.7,6445,6401
Seferihisar,Akarca Mah.,3019,44.91,3155,3296
Seferihisar,Ataturk Mah.,1696,44.91,1772,1852
Seferihisar,Bengiler Mah.,2670,44.91,2790,2915
Seferihisar,Beyler Mah.,342,44.91,357,373
Seferihisar,Camikebir Mah.,9997,44.91,10446,10915
Seferihisar,Cumhuriyet Mah.,1597,44.91,1669,1744
Seferihisar,Duzce Mah.,1503,44.91,1570,1641
Seferihisar,Godence Mah.,337,44.91,352,368
Seferihisar,Golcuk Mah.,137,44.91,143,150
Seferihisar,Hidirlik Mah.,7076,44.91,7394,7726
Seferihisar,Kavakdere Mah.,308,44.91,322,336
Seferihisar,Mersin Alani Mah.,3282,44.91,3429,3583
Seferihisar,Necat Hepkon Mah.,6024,44.91,6295,6577
Seferihisar,Orhanli Mah.,1426,44.91,1490,1557
Seferihisar,Payamli Mah.,1776,44.91,1856,1939
Seferihisar,Sigacik Mah.,4273,44.91,4465,4665
Seferihisar,Tepecik Mah.,2018,44.91,2109,2203
Seferihisar,Turabiye Mah.,7873,44.91,8227,8596
Seferihisar,Turgut Mah.,392,44.91,410,428
Seferihisar,Ulamis Mah.,3107,44.91,3247,3392
Seferihisar,Camtepe Mah.,126,44.91,132,138
Seferihisar,Colak Ibrahim Bey Mah.,4633,44.91,4841,5058
Seferihisar,Ihsaniye Mah.,100,44.91,104,109
Selcuk,14 Mayis Mah.,7244,-2.85,7223,7203
Selcuk,Acarlar Mah.,388,-2.85,387,386
Selcuk,Ataturk Mah.,7953,-2.85,7930,7908
Selcuk,Barutcu Mah.,142,-2.85,142,141
Selcuk,Belevi Mah.,1888,-2.85,1883,1877
Selcuk,Cumhuriyet Mah.,7107,-2.85,7087,7067
Selcuk,Gokcealan Mah.,984,-2.85,981,978
Selcuk,Havutculu Mah.,249,-2.85,248,248
Selcuk,Sultaniye Mah.,36,-2.85,36,36
Selcuk,Zafer Mah.,7804,-2.85,7782,7760
Selcuk,Zeytinkoy Mah.,757,-2.85,755,753
Selcuk,Camlik Mah.,980,-2.85,977,974
Selcuk,Isa Bey Mah.,2585,-2.85,2578,2570
Selcuk,Sirince Mah.,461,-2.85,460,458
Tire,4 Eylul Mah.,4062,-3.27,4049,4035
Tire,Adnan Menderes Mah.,5014,-3.27,4998,4981
