HEDEF_ALAN_M2_2025,HEDEF_ALAN_M2_2026,HEDEF_ALAN_M2_2027,EKLENMESI_GEREKEN_ALAN_M2_2025,EKLENMESI_GEREKEN_ALAN_M2_2026,EKLENMESI_GEREKEN_ALAN_M2_2027
9316.5,9211.5,9106.5,4836.5,4731.5,4626.5
8517.0,8535.0,8553.0,4557.0,4575.0,4593.0
4993.5,5133.0,5277.0,4255.5,4395.0,4539.0
17178.0,17214.0,17251.5,4388.0,4424.0,4461.5
7095.0,7239.0,7386.0,4156.0,4300.0,4447.0
6516.0,6414.0,6313.5,4557.0,4455.0,4354.5
5521.5,5514.0,5506.5,4321.5,4314.0,4306.5
10026.0,9870.0,9715.5,4612.0,4456.0,4301.5
12651.0,12504.0,12357.0,4548.0,4401.0,4254.0
11724.0,11590.5,11460.0,4315.0,4181.5,4051.0
5661.0,5572.5,5485.5,4211.0,4122.5,4035.5
5749.5,5682.0,5616.0,4119.5,4052.0,3986.0
5020.5,4942.5,4864.5,4020.5,3942.5,3864.5
6073.5,6003.0,5932.5,3929.5,3859.0,3788.5
9595.5,9675.0,9756.0,3595.5,3675.0,3756.0
24627.0,24679.5,24732.0,3650.0,3702.5,3755.0
8970.0,8989.5,9007.5,3670.0,3689.5,3707.5
6180.0,6084.0,5988.0,3880.0,3784.0,3688.0
6093.0,6073.5,6052.5,3725.0,3705.5,3684.5
15460.5,15513.0,15565.5,3570.5,3623.0,3675.5
8595.0,8494.5,8395.5,3795.0,3694.5,3595.5
17721.0,17619.0,17518.5,3791.0,3689.0,3588.5
14836.5,15198.0,15567.0,2845.5,3207.0,3576.0
9250.5,9106.5,8964.0,3715.5,3571.5,3429.0
14760.0,14593.5,14427.0,3760.0,3593.5,3427.0
9411.0,9489.0,9568.5,3211.0,3289.0,3368.5
13296.0,13324.5,13353.0,3296.0,3324.5,3353.0
19171.5,19236.0,19302.0,3115.5,3180.0,3246.0
5857.5,5905.5,5955.0,3117.5,3165.5,3215.0
12042.0,11973.0,11904.0,3292.0,3223.0,3154.0
14277.0,14110.5,13945.5,3477.0,3310.5,3145.5
8059.5,8076.0,8094.0,3099.5,3116.0,3134.0
4573.5,4702.5,4834.5,2823.5,2952.5,3084.5
5907.0,5956.5,6006.0,2907.0,2956.5,3006.0
8455.5,8526.0,8596.5,2855.5,2926.0,2996.5
8329.5,8232.0,8136.0,3124.5,3027.0,2931.0
4543.5,4473.0,4402.5,3055.5,2985.0,2914.5
9274.5,9306.0,9337.5,2844.5,2876.0,2907.5
16773.0,16510.5,16254.0,3342.0,3079.5,2823.0
9354.0,9448.5,9543.0,2604.0,2698.5,2793.0
8838.0,8800.5,8761.5,2838.0,2800.5,2761.5
6360.0,6538.5,6721.5,2365.0,2543.5,2726.5
18631.5,18414.0,18199.5,3110.5,2893.0,2678.5
4239.0,4254.0,4267.5,2609.0,2624.0,2637.5
9057.0,9310.5,9573.0,2050.0,2303.5,2566.0
7719.0,7696.5,7672.5,2443.0,2420.5,2396.5
5659.5,5818.5,5982.0,1869.5,2028.5,2192.0
3342.0,3289.5,3238.5,2242.0,2189.5,2138.5
5151.0,5161.5,5173.5,2031.0,2041.5,2053.5
13335.0,13258.5,13182.0,1885.0,1808.5,1732.0
3036.0,2988.0,2941.5,1806.0,1758.0,1711.5
11821.5,11862.0,11902.5,1621.5,1662.0,1702.5
11502.0,11322.0,11145.0,2002.0,1822.0,1645.0
2214.0,2211.0,2208.0,1564.0,1561.0,1558.0
2443.5,2436.0,2427.0,1559.5,1552.0,1543.0
4009.5,3963.0,3916.5,1627.5,1581.0,1534.5
1983.0,1977.0,1969.5,1516.0,1510.0,1502.5
9537.0,9616.5,9696.0,1237.0,1316.5,1396.0
2037.0,2031.0,2023.5,1403.0,1397.0,1389.5
1602.0,1597.5,1591.5,1212.0,1207.5,1201.5
8706.0,8604.0,8503.5,1384.0,1282.0,1181.5
23547.0,23272.5,23001.0,1686.0,1411.5,1140.0
18843.0,18630.0,18418.5,1478.0,1265.0,1053.5
5637.0,5649.0,5661.0,1027.0,1039.0,1051.0
1521.0,1515.0,1507.5,997.0,991.0,983.5
1873.5,1867.5,1861.5,917.5,911.5,905.5
1312.5,1308.0,1303.5,912.5,908.0,903.5
1347.0,1384.5,1422.0,822.0,859.5,897.0
11809.5,12340.5,12894.0,0.0,340.5,894.0
